text,label
哦那不需要这个号他说,其它
最低是多少,询问额度
行行好,其它
能支付宝支付吗,询问如何还款
对你哪位,询问身份或来意
喂喂,其它
没有好,其它
您说的是什么省呗,解释省呗
对好的,其它
好好好,其它
不成功,其它
有的有有的,其它
我想问一下你们这边要多久,审核时间
我很少用,其它
行行行,其它
你好我继续用钱怎么怎么怎么,额度是否循环
那个是否能直接贷款,询问贷款速度
是的怎么,其它
你怎么会我的电话号码,询问信息来源
好没事,其它
你们要收手续费吗,询问手续费
听得到我说话吗,客户提意见
能手机还款吗,询问如何还款
什么意思,其它
我说我时间注册过的,已在使用
再见再见,其它
可以听到我说话吗？,客户提意见
不要不需要再见不需要不需要不需要,其它
谁告诉你我的号码的,询问信息来源
不是怎么取消,其它
你看一下怎么搞,提交材料
你这边官网是在哪里我这边是可以去看一下吧,询问公司名称或地址
厘是什么,解释厘
别打别打,其它
你好我继续用钱怎么办,额度是否循环
气人,其它
利率,询问利率
可以提前还款吗,询问如何还款
我已经安装省呗,已在使用
度太低根本不够用,询问额度
嗯行可以,其它
你给我说一下到底都有什么用,其它
他是人工的,询问客服名字
号好,其它
哦那办理吧,其它
你们给我度太低根本不够要,询问额度
个人的真心有问题怎么办,是否上征信
谢谢你说么,其它
你在听我讲话吗,客户提意见
可以提升额度吗,询问额度
在什么地,询问公司名称或地址
嗯我看过四十岁,其它
请问一下我怎么还,询问如何还款
以前有逾期,是否上征信
你们不会是骗子吧,是否真实
我该怎么下载,软件怎么下载
我这边一百元的借吗,询问额度
能不能借现金,询问贷款现金
到,其它
拜拜,其它
你们怎么还款的,询问如何还款
帮我这边具体的只是想解一下,解释省呗
烦人不要,其它
要居住证吗,提交材料
什么什么省道,解释省呗
你这边能够借多少,询问额度
谢谢不要,其它
哪个号码,询问身份或来意
我想问一下你们审核需要什么流程,提交材料
恩这边是什么公司,询问公司名称或地址
移动不是幺零零八六吗怎么幺零零八五,询问身份或来意
怎么分期,询问分期
知道,其它
可以借现金吗,询问贷款现金
那我这边就想问一下你这里,客户提意见
都不懂我不知道儿,其它
放款快吗,询问贷款速度
想问一下你们公司有什么,公司优势
我已经二十岁,其它
多少利率,询问利率
哪个移动,询问身份或来意
没有哇你们这边如果预期的话有宽限期吗,是否上征信
可以跟我说一下你们的的是吗,解释省呗
是那是吧,其它
行我考虑一下,考虑
对没有,其它
我问你个问题？，,客户提意见
收费不,询问手续费
我靠,其它
那可以结现金吗,询问贷款现金
也可以,其它
你们这产品不需要,其它
嗯我办理我的业务听不清楚,其它
听起来像机器人,是否机器人
我就是问你我是浦发银行我可以接吗,合作银行
恩好的好的,其它
哦行行那个啥以后再说吧,其它
那我想问我在您这边提交什么资料方便,提交材料
再办一下吧好,其它
好的哦好好,其它
从昨时间又给我什么是这个套餐吗,其它
我不需要,其它
我们我能知道额外的优惠吗,客服不专业
你说嘛意思,其它
好嘞好嘞好嘞,其它
能介绍一下都有什么还款方式吗,询问如何还款
那是,其它
这都不知道,客服不专业
你们干什么,询问身份或来意
没兴趣,其它
奥有时间看看吧,考虑
浦发银行可以吗,合作银行
客服代表是干啥的,询问身份或来意
哦是,其它
嗯好再见,其它
哦行好嘞,其它
影响我信用卡以后的使用吗,是否上征信
以短信方式是什么,询问联系方式
付款的是谁,合作银行
我都要卖房,其它
没考虑,其它
有,其它
你声音怎么这么好听,私人信息
现在没空,其它
怎么会用我的号码,询问信息来源
怎么注销,其它
我问你省呗是什么东西,解释省呗
征信有问题可以申请吗,征信差或无资产
对缴纳,其它
嗯说什么我没听明白,其它
那边我你好,其它
哦行改一下吧,其它
是不是真的,是否真实
我不需要他给我贷,其它
那我时间自己再去解一下,考虑
公司距离这里远吗,询问公司名称或地址
它是这个还是这个号,其它
嗯好,其它
听不清,其它
是我使用,其它
傻逼,其它
你们的公司在哪里,询问公司名称或地址
是没有,其它
什么,其它
我不用不用,其它
再问一下，问你一下,客户提意见
无业游民,征信差或无资产
都是什么反正现以前没有这个号打过,询问身份或来意
我没有问你在款我说你现在什么公司,询问公司名称或地址
喂你那个,客户提意见
额度可以循环使用吗,额度是否循环
又打过来,其它
多少钱,询问额度
服务费多少,询问手续费
贷款快么,询问贷款速度
我这边还找你过一会打过来可以吗,其它
哦不要听,其它
去哪里提交材料,提交材料
你们怎么有我号码的,询问信息来源
恩没事挂,其它
不是不用,其它
我听不清大点声音,其它
我想,其它
你家是哪,询问公司名称或地址
等等再看,考虑
给我发短信,询问联系方式
谁都能接多少钱,询问额度
不是你什么软件,公司优势
什么有打给我,其它
不是你不是山东人吧,询问身份或来意
哪里,询问公司名称或地址
看不,其它
太慢,其它
你哪里来我的电话,询问信息来源
我想问一下你这边一百块能借吗最少要借多少,询问额度
请问您吃饭吗,私人信息
几个点,询问手续费
需要多久,询问贷款速度
这审核需要多少,审核时间
哦行你说一下吧,其它
阿,其它
那个麻烦你说慢一点我没听清,其它
你连这个都不知道吗,客服不专业
但是借款吗,解释省呗
噢对就订就行,其它
我不清楚,其它
应该是,其它
是谁,询问身份或来意
嗯嗯肯定是诈骗电话,是否真实
那个先不办你办以后我还得改一下找不着,其它
妈的,其它
恩,其它
我不喜欢你们这产品,其它
我想问一下我现在注册,审核时间
什么取现你们这边,询问身份或来意
你这边有利率吗,询问利率
嗯我现在在开车你等会详细给我说,其它
是高利贷吗,询问利息
我这边如果逾期的话之后会有什么影响,是否上征信
恩有的,其它
你这边会不会以后不能向银行再贷款,是否上征信
没办法,其它
你们公司我说还有其他的产品吗,客服不专业
哦行我看看怎么来,其它
对对,其它
我之前欠款的时候被激活我请问一下,是否上征信
没钱,其它
弄过,其它
谢谢不用,其它
哦没有,其它
干什么,其它
但是没有,其它
恩清楚好的,其它
我去啥呗,其它
我说你们这边能接现金,询问贷款现金
对是是我的号,其它
嗯我现在在开车,其它
不是六十岁,其它
有我想问一下你这边可以借现金吗,询问贷款现金
那个啥东西办理,其它
没有工作,征信差或无资产
审核时间长吗,审核时间
提根本不够用,询问额度
我现在逾期怎么办,征信差或无资产
家住在哪里,私人信息
没有打算,其它
哦那行行行,其它
为什么找你们,公司优势
合作银行,合作银行
不需要不需要不需要我现在用不到谢谢,其它
用不到,其它
听错五十岁以上,其它
是电子的还是人,其它
你好你哪里,询问身份或来意
付款没有成功,其它
什么叫电脑随机不好为什么会我手机号,询问信息来源
哦知道,其它
嗯好嘞好嘞那那行,其它
您联系方式是什么,询问联系方式
你是哪儿的,询问身份或来意
你们要收点吗,询问手续费
送到,其它
哦我现在很忙不想接电话您以后再打可以吗,其它
额暂时没需求,其它
我问一下,客户提意见
对没错,其它
逾期怎么办,征信差或无资产
什么时候放款,询问贷款速度
这个有的,其它
好是,其它
哦你这边是在地区哪里,询问公司名称或地址
那这样的话会不会影响个人真新卡,是否上征信
什么都不知道干嘛还要做这个,客服不专业
对打过来我知道,其它
哪里拿到我的信息,询问信息来源
你们能保证我的信息安全吗,询问是否安全
对所以说刚才电话打来测试的时候半天不说话,其它
好请问小姐,客户提意见
哦行我看看吧,其它
我说我没有信用卡怎么办我没有信用卡,其它
邮,其它
嗯聊解,其它
我才十岁,其它
没得,其它
就取消谢谢,其它
对说,其它
我想去你们官网看一下,询问公司名称或地址
哦嗯行好,其它
,其它
哦好好嘞他说,其它
嗯那好的再见,其它
我想问一下你们这边可以借现金吗,询问贷款现金
就是够用,其它
恩有,其它
然后行行行,其它
放款的谁,合作银行
信用贷款,解释信用贷款
多少,询问额度
喂行,其它
联系方式是什么,询问联系方式
我四十多,其它
我有信用卡谢谢,其它
我再看看,考虑
我做不,征信差或无资产
对嗯,其它
需要上征信吗,是否上征信
你什么学历,私人信息
有需求,其它
有逾期,征信差或无资产
嗯没,其它
你好没有,其它
你有没有男朋友,私人信息
如果说这样是吧,其它
说我们欠费注意,征信差或无资产
我这听清楚你说吧,其它
哦好好恩,其它
是,其它
好请借金多少,询问额度
可是我要怎么还我不太清楚,询问如何还款
你管我有没有信用卡,其它
真他妈的烦人,其它
就是你能介绍一下你这边的产品一个好处,公司优势
你知道吗你很不专业,客服不专业
没问题的我说这,其它
是个什么贷款身份证,解释信用贷款
是什么,其它
没收到,其它
你是专业的客服吗,客服不专业
好好的,其它
在肯定,其它
你说这个不懂不懂,其它
是真人吗,是否机器人
我超过五十岁,其它
我是想借但是限款没有成功,其它
您没有什么要求,征信差或无资产
恩行,其它
好的,其它
清楚,其它
我这边的话不需要你们这个额度,其它
什么材料,提交材料
我可以在这边提升度吗,询问额度
公司在哪里,询问公司名称或地址
行好好好,其它
不用嗯,其它
有付费吗,询问手续费
我考虑一下,考虑
我逾期如果去的话之后我会怎么影响,是否上征信
请问你吃饭吗,私人信息
稍等,其它
就是你们这儿如果审核还款期间会打电话给我吗,审核时间
那我没听明白你说什么意思,其它
你们这个是什么贷款,解释省呗
对是,其它
已经知道我说我现在暂时不需要用的,其它
我是什么事情,其它
嗯那好的没事,其它
好嘞谢谢,其它
对谢谢,其它
怎么算你再说一遍我没给你,其它
去你们公司该怎么走,询问公司名称或地址
你好我想问一下你这边,客户提意见
我在哪里可以找到你们省呗这个产品,软件怎么下载
怎么会有我号码,询问信息来源
利息是多少,询问利息
嗯嗯怎么结款,询问如何还款
官网是多少,询问公司名称或地址
三个月四千块钱利息是多少钱,询问利息
你们是和什么银行合作的,合作银行
你这是不是诈骗电话,是否真实
不是移动公司的,询问身份或来意
激活不,其它
嗯方便你说吧,其它
恩好有的你说,其它
公司名,询问公司名称或地址
你们是哪里,询问公司名称或地址
什么时候钱能到账,询问贷款速度
没听明白你说的啥你说的啥,解释省呗
听清喽,其它
我觉得没什么用,其它
我六十多,其它
哦没,其它
哦行行那缴费那,其它
这边以后能够给我多少钱,询问额度
不想说话,其它
嗯正常,其它
请说好谢谢,其它
知道嗯,其它
我没什么好讲的说,其它
哦哦哦哦,其它
我没收到,其它
哦对不好意思我不太明白,其它
嗯喂,其它
逾期未还款,是否上征信
可以还多张卡吗,信用卡数量限制
好的您是否能接现金,询问贷款现金
我注销美女,其它
你这是哪里哪里,询问身份或来意
信用卡有过逾期会影响申请吗,征信差或无资产
我这就是4g的,其它
你是哪个,询问身份或来意
你说你服务的怎么样,私人信息
我听不清,其它
怎么下载这个软件,软件怎么下载
是那我能接多少钱,询问额度
你可以说一下,其它
不对,其它
额度高吗,询问额度
哦怎么办,其它
十是吧,其它
你说的啥我没听没,其它
账号的安全有保障吗,询问是否安全
省呗是啥玩意儿,解释省呗
之前有一些逾期可以吗,是否上征信
哦对不起我不需要,其它
不会操作,其它
已经贷款,已有贷款
我已经六十多,其它
行多少,其它
你家是哪里,私人信息
哦你说给你办理一下吧,其它
怎么借能借多少,询问额度
过一段时间我再去,其它
钱话费我不用办,其它
好嘞可以,其它
行嗯,其它
恩好,其它
怎么又打给我,其它
你现在是省呗嘛,解释省呗
我说你最近去出出去旅游,私人信息
好的那就那个办吧,其它
怎么还款,询问如何还款
你什么我听不太清楚我听不太清楚你再说一次,解释省呗
嗯可以好,其它
你们公司还有其他的产品吗,客服不专业
请讲,其它
嗯不用改这没,其它
好,其它
我不要你这个产品,其它
是什么贷款,解释省呗
你们最高可以申请,询问额度
我不知道,其它
嗯已经可以用,其它
我有我信用卡都十万的你给我两万块干嘛,询问额度
哦行行行那明白,其它
是否能接现金,询问贷款现金
你们公司全力几点,客服不专业
那谁,询问身份或来意
你这边是什么电话,解释省呗
好的我想问一下你们这边的话分期可以分几期,询问分期
我老手机老年手机现在都不用,其它
我说二十分听不懂是吧,其它
你公司是哪的,询问公司名称或地址
要身份证吗,提交材料
要不要办理,考虑
行恩好,其它
我在哪里可以找到你们设备这个产品,软件怎么下载
是这样我想问一下你们这个产品,解释省呗
我想说您这边是什么公司,询问公司名称或地址
能借现金吗,询问贷款现金
啥嘞,其它
可以在现金用吗,询问贷款现金
不,其它
信用不好,征信差或无资产
假如是的,其它
那你给我说一下我请问一下,其它
不记得这个软件是什么,公司优势
逾期的话对我后续有什么影响,是否上征信
拒绝,其它
请问你回答的问题好吗,私人信息
你公司是什么,询问公司名称或地址
说什么,其它
我三十多,其它
同意,其它
喂唉,其它
嗯你说,其它
不用话,其它
不管用,其它
好吧好吧,其它
是哪的,询问身份或来意
没有成功,其它
你这个是诈骗电话,是否真实
哦行那你给我改吧,其它
我问能就现金吗他这边,询问贷款现金
我不会办,其它
这种你是哪里,询问身份或来意
还是这个公司好像没有听过,解释省呗
我这里是不要需求的我这边只是想和你这边进行核实一下,其它
准备是什么东西,解释省呗
我没听明白什么意思,其它
你帮我介绍一下,其它
哦我没听明白那就没有你说啥意思,其它
没有我就时间我就时间把这话费多一点,其它
哦行行行,其它
你是谁你是不是骗子,询问身份或来意
好嘞知道哦我想不用,其它
你们给我的度太低,询问额度
好好办理,其它
不是地区人,私人信息
如果我想那个用审呗我怎么怎么去操作,提交材料
你听得清我在说话吗,客户提意见
不想用,其它
用,其它
哦好嘞,其它
你好听得到吗省呗是专门的,解释省呗
你管我多大干嘛,其它
嗯需要,其它
继续,其它
安全怎么保障,询问是否安全
什么公司,询问公司名称或地址
借款上征信吗,是否上征信
你能听得到我说话吗,客户提意见
我想问一下你这边三七最多可以开多少钱,询问分期
嗯是,其它
你们吃东西怎么注册,提交材料
我比较忙,其它
哦你那移动,其它
没法也没课能大吗,征信差或无资产
不客气再见,其它
用不那么多,询问额度
这个不需要告诉你,其它
你能听见我说话吗,客户提意见
怎么办理,提交材料
对楼,其它
你哪儿你说,询问身份或来意
这个多少我能接多少钱,询问额度
我是说你浦发银行可以吗,合作银行
没听清楚,其它
是无抵押贷款吗,询问抵押
不需要,其它
没工作,征信差或无资产
什么是省呗,解释省呗
好嗯,其它
是免费的吗,询问手续费
不需要推销人,其它
我是有需求的但是我想解一下你们这边的,解释省呗
别烦我,其它
不想听,其它
不要不要 说多少遍,其它
哦我知道我知道你可以拿,其它
觉得你们这边的申请快吗,审核时间
对你是哪里,询问身份或来意
你们这边如果逾期的话有宽限期吗,是否上征信
我是,其它
等一等再去,其它
你们这个是哪家公司,询问公司名称或地址
行好嘞,其它
反正行吧,其它
你等一下你是,其它
哦行自己办,其它
你是干嘛的,询问身份或来意
嗯哼办理吧,其它
行我不想要,其它
从哪下载去批从哪下载有提醒,软件怎么下载
你这边观望是在哪里我这边是可以去看一下吧,询问公司名称或地址
你再说一遍,其它
我想就是想问一下你这边的状况放,客户提意见
是的,其它
别打扰我,其它
等一下,其它
没房子,征信差或无资产
用得少,其它
你家在哪里,私人信息
嗯嗯那个你们的利率是怎么算的,询问利率
你是机器人吧,是否机器人
你是人工吗,是否机器人
不是你是什么那边,询问身份或来意
嗯这边的额度是多少,询问额度
刚四十,其它
恩那我再问一下就是这,其它
好再见再为您服务,其它
吃什么公司,询问公司名称或地址
信用卡没有,其它
没车子,征信差或无资产
你们受国家监管吗,询问是否安全
我拒绝签收,其它
利息怎么样,询问利息
不用信用卡,其它
能贷款多少,询问额度
我才十几岁,其它
你们公司在哪里,询问公司名称或地址
我这边说会不会影响个人专线以后会不会不能再向银行贷款,是否上征信
好对,其它
请解释一下,其它
号不想跟你说我给你没法沟通,其它
来来太少不够用,其它
不办理,其它
还款方式都有哪几种,询问如何还款
想问你个问题，,客户提意见
你知道的太少,客服不专业
听到,其它
哦不管那,其它
那好,其它
你是骗子吧,是否真实
我想问你可不可以提前还款,询问如何还款
现在还能签你们产品吗,征信差或无资产
能手机现金,询问贷款现金
没有那你啥意思,其它
交,其它
们接线金吗大姐,询问贷款现金
知道我的手机电话号码的,询问信息来源
你们是萨摩耶放款吗,是否真实
我现在不用,其它
一般这个贷款怎么搞,提交材料
不要,其它
不是的,其它
假的吧,是否真实
正常缴纳的,其它
骗人的,是否真实
我只找银行贷款,公司优势
你们这边的话您领的话要求,征信差或无资产
快吗,询问贷款速度
我这有两套房的卖一点,其它
请问我可以退现金吗,询问贷款现金
之前说我征信有问题,征信差或无资产
有套餐的,其它
你是移动公司,询问身份或来意
对不用别说这样您说就说这个,其它
我有个问题,客户提意见
你是真人客服吗,是否机器人
对怎么说,其它
你单身吗,私人信息
省呗是啥公司,询问公司名称或地址
去解一下这个产品,解释省呗
对怎么,其它
我在开会,其它
我现在现在怎么办,提交材料
好行行过来好的幺五二八,其它
什么都没有,征信差或无资产
不用好,其它
好的好的好的好的好的,其它
扣两次怎么办理的,是否上征信
几乎不,其它
你微信,询问联系方式
哦行行行你帮帮我给改一下吧,其它
可以现在还能可以办嘛,其它
家有钱吗,私人信息
再见你怎么不给我解,其它
弄好,其它
这个都不知道,客服不专业
你说什么银行,合作银行
那你给我改上去给我改,其它
没见到卡,其它
不用我这忙着,其它
我不到二十,其它
重新你们要查我的专线吗,是否上征信
嗯行,其它
利息怎么算,询问利息
公司董事长是谁,客服不专业
曾经有过,其它
嗯行好嘞再见嗯,其它
请问能够接多少钱,询问额度
咨询一下你们这边这个是一个什么服务,公司优势
能代付吗,询问如何还款
材料给谁,提交材料
现在先不办不办不用,其它
好吧七在哦那行好,其它
小伙,其它
听不听得到,客户提意见
我该怎么到公司,询问公司名称或地址
我想问一下我什么地方去下载这一批我怎么去申请,提交材料
别打我电话,其它
我问你浦发银行可不可以你回答我这个些内容我我不需要知道,合作银行
怎么多少,其它
你发吧,其它
我想问一下你这边是什么性质的贷款可以用来干嘛的,公司优势
我问你设备是什么东西,解释省呗
对总部还行吧,其它
哦那你给我改套餐哈,其它
给我办,其它
已经老,其它
我用不,其它
你们是哪里的,询问公司名称或地址
挂,其它
没有这个需求,其它
嗯有需求我是想问一下就是你们这个度是多少,询问额度
哪种还款方式比较方便快捷,询问如何还款
嗯那边你们那边卖奶茶吗,客服不专业
你是人工客服还是,是否机器人
你说啥,其它
我不用来电,其它
你你家里有空吗,私人信息
我再说吧,考虑
差不多差不多,其它
哦行办吧,其它
我不要这个产品,其它
哦你是哪里,询问身份或来意
错不是这个手机号,其它
没时间,其它
恩好可以行好,其它
安全能保证吗,询问是否安全
不麻烦你,其它
你们公司目前有多少位员工,客服不专业
这个人工服务进去,是否机器人
移动吗,询问身份或来意
我说你这边能接现金吗,询问贷款现金
不可以,其它
不知道,其它
哦订,其它
不给你,其它
你怎么称呼,询问客服名字
你怎么这么不专业,客服不专业
我想问一下就是,客户提意见
好知道没时间就这样挂,其它
我不需要这是诈骗电话吧,是否真实
好嘞好嘞时间就问一下,其它
解一下这个产品,解释省呗
同意办理,其它
他是个借款的是吗,询问身份或来意
不告诉你,其它
我已经五十多,其它
银行的太多的度,询问额度
卡丢,其它
嗯那行我办一个吧,其它
这边有效神么影响吧,是否上征信
那暂时先不需要,其它
激活,其它
这里是什么公司,询问公司名称或地址
额好行行行嗯好的,其它
帮我对,其它
你们这个汇信息泄露吗,询问是否安全
是否能接听金,询问贷款现金
你们这个期间清楚是多少,询问分期
好中,其它
地址是多少,询问公司名称或地址
是我自己办的,其它
这样行吧,其它
一百元的借吗,询问额度
信息来源,询问信息来源
你客服连这个都不知道,客服不专业
我没有没有不想要这个,其它
你们那边太高,其它
不用发短信,其它
没听清,其它
名字什么样从说一遍,询问客服名字
七我有个问题问你一下,客户提意见
请告知我你的联系方式,询问联系方式
是否能借金,询问贷款现金
这边的话人申请多少额度,询问额度
我刚才那个不是刚才又给我打电话,其它
失败,其它
你好不用,其它
谢谢,其它
额我想问一下你们这边要查专线吗,是否上征信
付叫什么你听我讲,私人信息
对那是,其它
这懂,其它
能不能说一下有哪几种还款方式,询问如何还款
我是想借但是,其它
保密,其它
好吧好嗯,其它
产品参与过逾期能申请吗,是否上征信
没没不知道你就是说,考虑
哦行好嘞好考虑好的,其它
我想问一下您您有什么要求,征信差或无资产
我想问一下你这边的利率是多少,询问利率
听清楚,其它
我问一下期间金额是多少,询问额度
不听,其它
我不记得这个软件,公司优势
我现在没空,其它
哦你说吧是,其它
请问有什么,其它
好可以,其它
你会唱歌吗,私人信息
你多大,私人信息
能贷多少,询问额度
我说是省份是个借款的是吗,解释省呗
行吧请说,其它
那我需求,其它
关这么多干嘛,其它
不用谢谢,其它
是的吗到款的是谁,合作银行
我不认识你,询问身份或来意
我说我都没钱买房买车,其它
对我是,其它
影响信用卡使用,是否上征信
忙得很,其它
嗯是否能再贷款,已有贷款
以后再说,考虑
好好嗯,其它
其他多少,询问利息
它是,其它
对地区使用,其它
能直接微信支付吗,询问如何还款
你可以跟我介绍一下你们产品的好处吗因为我正在跟其他产品对比,公司优势
真的没有,其它
不签收,其它
专家对比你们介绍一下你查询好处吗,公司优势
你是哪里,询问身份或来意
没事没事需要再见,其它
我去比较一下,考虑
你们有人监管吗,询问是否安全
还信用卡以外,解释省呗
我说我二十岁,其它
对啥时,其它
我不用办理用过呗,其它
加个微信,询问联系方式
四元是什么贷款,解释信用贷款
提供资料,提交材料
跟哪些银行合作,合作银行
你说怎么意思,其它
得,其它
稍等哪些材料,提交材料
我不办这个业务,其它
我年龄不够,其它
顾不上,其它
没时间没时间挂挂,其它
多少时间到账,审核时间
你们的分期是多久,询问分期
多少钱额度,询问额度
怎么弄,提交材料
那个我还款不是自动再查里面扣的吗,询问如何还款
好的对,其它
你打完哈,其它
恩你你什么软件,解释省呗
听清楚那好嘞,其它
你的身高是多少,私人信息
那行再见,其它
有隐形费用吗,询问手续费
过去还有个问题要问你差不多那个东西不是网的我,客户提意见
那你们这欠款的话审核需要多久,审核时间
我没听明白你是什么意思,解释省呗
不好意思这个不感兴趣,其它
应该中,其它
哦你给我换,其它
如何联系到你,询问联系方式
你之前怎么不给我接,征信差或无资产
中国移动不是幺零零八六吗幺二八五,询问身份或来意
您是都是网路吗,询问客服名字
你多重,私人信息
哦那也可以,其它
对好嘞好的,其它
借款五个月利息多少,询问利息
我的贷款有缴的,已有贷款
还掉还算在额度内吗,额度是否循环
噢好的好的,其它
你打电话干嘛,其它
五六到你家吗,私人信息
行行行行好吧我看看,其它
我说还有什么产品,客服不专业
我感觉现在是吧好的,其它
余额公司的董事长,客服不专业
我没有二十,其它
行好嘞知道,其它
请把联系方式发给我,询问联系方式
我觉得这个额度不够用可以调吗,询问额度
你怎么老给我打电话,其它
我忙没时间,其它
哦我知道在忙的时候,其它
可以改,其它
等等在看,考虑
是我的,其它
哦办一个吧,其它
抱歉我都清楚,其它
解一下你这个东西是大概多少钱,询问额度
不好意思我在上班,其它
是吧我,其它
嗯嗯你大概是马上就能给我发短信吗还是什么,其它
谢谢喂,其它
好不错嘞原来这个是挺好还有都挺好对,其它
好清楚,其它
我十二周岁,其它
我有信用卡,其它
为什么说方便,公司优势
我偶尔用,其它
唉,其它
哦信息来源,询问信息来源
不明白不是的,其它
你家有框吗,私人信息
我征信有问题还能使用你们产品吗,征信差或无资产
要抵押吗,询问抵押
你们这个官网什么,询问公司名称或地址
恩对对,其它
然后没听明白怎么,其它
什么时候能放款,询问贷款速度
有你这边怎么解,提交材料
那我就需要用到的话再看好吗,其它
我知道,其它
你是干什么的这都不知道,客服不专业
请问有没有在听我说话,客户提意见
需要的材料多吗,提交材料
超过试试,其它
好行行,其它
嗯那查看一下,其它
那你再说一遍,其它
你长得好看吗,私人信息
干嘛的,询问身份或来意
不用,其它
嗯行好,其它
我说你们这边注册的时候要上征信吗要不要查我的征信,是否上征信
不是你这边能去现金,询问贷款现金
谢谢不需要,其它
你叫什么,询问客服名字
还钱方式,询问如何还款
怎么结款,询问如何还款
不记得这个软件是什么省份,公司优势
好等于说,其它
我说你这边,询问身份或来意
是恩,其它
好怎么办,其它
放款的是谁,合作银行
我是问五分钟才能申请是,审核时间
是怎么怎么计算,询问利率
嗯行行嗯,其它
没有服务费手续费,询问手续费
就是这么快我都没听清,其它
放屁,其它
我想问你们这边可以分期还,解释信用贷款
怎么轻松拿到额度,审核时间
可以听,其它
你们哪里来我的信息,询问信息来源
怎么,其它
真不真,是否真实
哦我自己弄那,其它
你们这边怎么取消,其它
是不是又是骗人的,是否真实
喂听明白我这是,其它
在家里你是独生女吗,私人信息
你是机器客服吗,是否机器人
我在开车,其它
我听听听不清,其它
好嘞再见,其它
哦不用我现在不用流量什么的,其它
哦这样子那你们这边不能接现金吗,询问贷款现金
都是,其它
有个问题想问你，,客户提意见
哦你说我不明白我没听明白会正常走,其它
不要不用谢谢,其它
谢谢这个你什么事,其它
对意思吗,其它
等等再去,其它
哦好可以,其它
你贵姓,询问客服名字
对是这样,其它
我只是想解一下你们这个,解释省呗
号,其它
我不想跟你说,其它
高利债吗,是否真实
有其他费用吗,询问手续费
怎么注册,提交材料
号好好,其它
好的那我挂,其它
是的那个,其它
您是骗子吗二十天样子吗,是否真实
开通快吗,询问贷款速度
幺,其它
我四十不到,其它
我现在不方便接电话,其它
不能谢谢,其它
是的你说,其它
假如说我要逾期的话有影响吗,是否上征信
只能用来还信用卡吗,解释省呗
你有对象吗,私人信息
你吃饭吗,私人信息
什么流程,提交材料
怎么称呼你,询问客服名字
对说你们这儿,其它
我如果那个问题吗有的时候可能是没有,其它
你哪里,询问身份或来意
行你给我开通,其它
你有没有在听我讲话,客户提意见
应该是赠送,其它
嗯是的,其它
不行不行不行,其它
你干嘛,询问身份或来意
你家是哪里的,私人信息
没有没有没有没有什么情况,其它
欠款的话上征信吗,是否上征信
对那好,其它
给你介绍个男朋友好吗,私人信息
那个是,其它
不怎么用,其它
这边的话我想问的是您可以借现金使用吗,询问贷款现金
嗯现在建行卡绑定不怎么办,合作银行
就是能给我多少额度,询问额度
你们要查征信吗,是否上征信
你姓什么,询问客服名字
我开会等会打给你好吧,其它
你是人工还是机器人,是否机器人
拜拜拜拜,其它
我说话你听得懂吗,客户提意见
不用谢,其它
我现在在上班可以现在给我打电话吗,其它
听见我说吗,客户提意见
